,sent_1,sent_2,class
0,"It is a complex argument, and there are perfectly reasonable points of view to be expressed on either side.",The Government have decided that the best way to ensure that this is recognised in law is to develop the tri-service covenant and for the Secretary of State to make a statement so that Parliament as a whole can assess how it is being delivered.,0
1,The Government's cuts are not only unreasonable; they are also unmanageable.,A number of councils believe that they will not be able to set a balanced budget given the front-loading of cuts next year.,0
2,I am glad to hear that the Minister and the Government take seriously the appalling treatment of women in Iran.,"Can he share with the House the Foreign Office's assessment of what happened last week in parliamentary elections, and whether the so-called conservative consolidation in those elections may even make matters worse?",0
3,Members to pay it a visit in the next recess.,"It is a fantastic place&#8212;500 acres of country park, with the finest sculptures of Henry Moore and Barbara Hepworth dotted among the sheep.",0
4,It is important to recognise that such major transitions do take place.,"On the black hole that we were discussing previously, I want to make clear what I think a black hole is: a great expenditure commitment over a long period for which there is no money.",0
5,"Jobs, the economy, the health service, schools, the fight against poverty&#8212;none of those issues matter as much to the nationalists as the prospect of replacing the words &#8220;United Kingdom&#8221; with the word &#8220;Scotland&#8221; on their passports.","Perhaps in their minds, the end justifies the means.",0
6,"First, poorer places will share the increase in growth with more prosperous areas.","Those places with the greatest dependency should, and will, continue to receive support, while being allowed to keep the products of enterprise, and those places that raise the greatest sums through business rates should expect to make a contribution.",0
7,"Friend the Member for New Forest West (Mr Swayne) was right when he said that we stood shoulder to shoulder to battle against the national park authority being imposed on us, because we felt that that was an overarching model rather than an interacting model of different organisations.",That is where I fear my Front-Bench team has lost its way.,0
8,There will be change.,We are behind this change.,0
9,"That is very important in the mechanical and electrical fields, in carpentry and even in administration.",Work-based experience is vital.,0
10,"I was present earlier for part of the debate, and I will not take very long.","In fact, I will be very brief.",0
11,of them go on to university; and 27 per cent.,of them have statements for special educational needs compared with just 3 per cent.,0
12,"Friend the Member for Plymouth, Sutton (Linda Gilroy) has a great deal of experience in defence, and particularly naval, matters.",She showed her knowledge and commitment to defence through the range of issues that she talked about.,0
13,My hon.,Friend makes an important point.,0
14,"Cabinet Office refused the request, citing the Act's exemptions for information relating to policy development and ministerial communications.","In keeping with its statutory obligations, the Cabinet Office had considered the public interest in releasing the information, but found twice, on balance, that there was a greater public interest in withholding it.",0
15,"I urge him to do this job, because it is necessary if we are going to get value for money and motivate the very fine people who make up our armed forces.","So far, this has been the best informed and best defence debate I have attended in this House.",1
16,"According to its website, it is a fast-growing global manufacturing group with a turnover of &#8364;1 billion.","It has business interests in the manufacture of steel and automotive and general engineering products and employs 8,000 people worldwide.",0
17,Would that not be an equally inappropriate use of police time?,"It is not that the police are going around snooping on people holding private parties, because that is a legal activity.",1
18,"Friend the Member for Tiverton and Honiton (Neil Parish) cited, illustrates, there are no institutional solutions to problems that, at root, require both political will and consistent, shared views.",The High Representative has made a very good start to her challenging role.,0
19,The Irish Government have signed off on those key terms.,That is the rate they are expecting to get.,0
20,"Small companies of nine employees or fewer will have access to free software upgrades, so those that do not have a software payroll system will not incur any great charge.",We are running trials that will start in April and that will join with the DWP in October.,0
21,"That is why I cannot support clause 35, or indeed any other aspect of the Bill, and why my right hon.",and hon.,0
22,"Is not the real issue that as each year goes by, the distinction between full-time and part-time courses in terms of hours taught becomes increasingly irrelevant?","In many universities and for many courses, it would be very difficult to distinguish clearly between a student attending a part-time course and a student attending full time?",0
23,"There is a wider set of issues, therefore.","UK clearing houses stand between two parties in a trade, ensuring that a deal goes through in the event of one party defaulting.",0
24,How could it be that there was nobody in the NHS establishment who would represent us?,"The Government had represented us; the local council had represented us; even the former Mayor of London, Ken Livingstone, had supported us.",0
25,"In 2011, we hope to review and consult on the indicators set and to reduce their number even further, and under sustainable communities legislation, citizens can put forward proposals for change in their areas through their local councils.","Alongside those improvements, we have introduced extended scrutiny arrangements to give local councils and their electorate a powerful tool with which to influence the decisions that affect their daily lives.",0
